Username,Preprocessed_Tweet_Text,Timestamp,classification
murphieku,rt kangwaqfi2 politisasi agama prediksi capai magnitudenya milu 2024 nanti hanya satu kata lawan,2023-01-17 03:40:01+00:00,pemilu
dpcpdkotacrb,insiden korban jiwa milu 2019 jangan ulang agusyudhoyono ahy pimpin ubah,2023-01-17 03:39:48+00:00,pemilu
YanHarahap,konsep koalisi yg baik adlh jadi win2 solution para pihak yg koalisi begitu bentuk benar2 mnjd k,2023-01-17 03:39:37+00:00,pemilu
sammy_frangky,rt oposisicerdas hariman siregar kalau milu tunda karena alas tidak ada duit ngapain bikin ikn,2023-01-17 03:39:28+00:00,pemilu
tkngsiomay,radixwp diposurop ramasari6789 tomahawkriders buyungbin1 aesculapiusw zulfiarrahman soetansjahrir45,2023-01-17 03:39:16+00:00,pemilu
aacayyyyyy,rt bennyharmanid dalam demokrasi elektoral negara larang pihak salah satu pihak yg tanding dlm milu utk rebut kuasa r,2023-01-17 03:39:15+00:00,pemilu
Trianggorobroto,rt narasinewsroom duga manipulasi data ubah berita acara perintah langsung kpu ri kpud buat lolos partai y,2023-01-17 03:39:02+00:00,pemilu
Moyo26278086,ajar dr alam milu 2019 yg tlah mmakan korban jiwa d pihak selenggara milu yakni 894 tugas ning,2023-01-17 03:38:51+00:00,pemilu
Bluelinedot,rt narasinewsroom duga manipulasi data ubah berita acara perintah langsung kpu ri kpud buat lolos partai y,2023-01-17 03:38:28+00:00,pemilu
DeBrite27,rt narasinewsroom duga manipulasi data ubah berita acara perintah langsung kpu ri kpud buat lolos partai y,2023-01-17 03:38:25+00:00,pemilu
wantahgdn__,sangkal yoh4nies bapak politik identitas justru menyalahgunakan ahok,2023-01-17 03:38:08+00:00,pemilu
AnugrahDaniar,rt teguhtimurcom hariman siregar kalau milu tunda karena alas tidak ada duit ngapain bikin ikn,2023-01-17 03:37:48+00:00,pemilu
EMokoginto,partai raih banyak dua suara nasional milu 2019 instruksi kader sosialisasi mente,2023-01-17 03:37:29+00:00,pemilu
DeenAwwalu,helmifelis wong cilik dagang partai wong licik rakyat buat terus miskin bodoh bisa tipu milu,2023-01-17 03:37:17+00:00,pemilu
EMokoginto,partai gerindra jadi menang milu 2024 jawa barat ungkap muzani prabowo dekade08,2023-01-17 03:37:12+00:00,pemilu
merdekadotcom,jokowi tak ingin masyarakat jadi korban politik identitas milu 2024,2023-01-17 03:37:05+00:00,pemilu
LamonganKpu,temanpemilih kpu kabupaten lamongan ikut rapat koordinasi rakor meta tempat mungut suara tps milu t,2023-01-17 03:37:05+00:00,pemilu
Acil11147618,rt oposisicerdas hariman siregar kalau milu tunda karena alas tidak ada duit ngapain bikin ikn,2023-01-17 03:36:34+00:00,pemilu
FahrezaMaliq,partai gerindra jadi menang milu 2024 jawa barat ungkap muzani prabowo dekade08,2023-01-17 03:36:21+00:00,pemilu
FahrezaMaliq,partai raih banyak dua suara nasional milu 2019 instruksi kader sosialisasi mente,2023-01-17 03:36:05+00:00,pemilu
NandaJesica1,partai gerindra jadi menang milu 2024 jawa barat ungkap muzani prabowo dekade08,2023-01-17 03:35:55+00:00,pemilu
roeljogja79,rt narasinewsroom duga manipulasi data ubah berita acara perintah langsung kpu ri kpud buat lolos partai y,2023-01-17 03:35:42+00:00,pemilu
GRANDFATHER_71,nasdem optimistis bangettt bila apa udah yakin seluruh rakyat indonesia pilih,2023-01-17 03:35:39+00:00,pemilu
hdsambodo,rt zarazettirazr mirip warung masa covid buka tutup buka tutup,2023-01-17 03:35:25+00:00,pemilu
WAHABSIDIK5,rt billy4riez dapuk kiai bu nyai jadi jurkam milu pkb kejar target juara 2 milu,2023-01-17 03:35:24+00:00,pemilu
moderasikalbar,jangan biar politik praktis dengsn manfaat isu sara jadi jelang milu 2024 indonesiamaju,2023-01-17 03:35:13+00:00,pemilu
kumparan,presiden jokowi ingat kepala daerah jaga stabilitas politik aman jelang milu 2024 masyar,2023-01-17 03:35:08+00:00,pemilu
fahmiaudahsalim,tita83079013 cuman gara2 anies calon presiden tweeter tmbh rame kerja anies yg kurang baik d upload smp a,2023-01-17 03:35:07+00:00,pemilu
aurunika,nama prabowo subianto selalu muncul kali milu hendak ada prabowo dekade08 mendingprabowo,2023-01-17 03:35:07+00:00,pemilu
diyoex,rt diyoex paak rri tnial tniau divhumas polri saya adalah musuh utama y sejak belum milu 2014 si politikus pki lt komuni,2023-01-17 03:34:36+00:00,pemilu
BKertasari,rt humaspoldajbr cegah hoax jelang milu polri gelar koordinasi dengan instansi kait kadiv humas polri irjen pol prof dr dedi pr,2023-01-17 03:34:35+00:00,pemilu
AliyansyahRafli,partai gerindra jadi menang milu 2024 jawa barat ungkap muzani prabowo dekade08,2023-01-17 03:33:54+00:00,pemilu
NandaJesica1,partai raih banyak dua suara nasional milu 2019 instruksi kader sosialisasi mente,2023-01-17 03:33:49+00:00,pemilu
pramesty_nindy,partai gerindra jadi menang milu 2024 jawa barat ungkap muzani prabowo dekade08,2023-01-17 03:33:45+00:00,pemilu
FreyaIswari,partai gerindra jadi menang milu 2024 jawa barat ungkap muzani prabowo dekade08,2023-01-17 03:33:38+00:00,pemilu
aisaarchv,peachbunrsy kerennn bgttt kak ni aku lagi daftar jadi panitia milu doain kak aku jg pasrah hehe,2023-01-17 03:33:34+00:00,pemilu
prizuardi,rt teguhtimurcom hariman siregar kalau milu tunda karena alas tidak ada duit ngapain bikin ikn,2023-01-17 03:33:24+00:00,pemilu
iqbalink13,rt roseuune kpu minta bantu pgi wujud milu damai kualitas sukses pesta demokrasi yg diselenggarak,2023-01-17 03:33:08+00:00,pemilu
kontenislam_com,lahir wakil rakyat mental jongos hanura tegas tolak milu sistem proporsional tutup,2023-01-17 03:32:57+00:00,pemilu
BawasluHalsel,sahabatbawaslu lambat daftar tunggu hadir kantor panwaslu camat ya masih di,2023-01-17 03:32:47+00:00,pemilu
madisipadi,ini hidup chinese surabaya yg urus milu tgl 18-19 tgl 22 nya imlek selasa 17 jan 18 10 -,2023-01-17 03:32:37+00:00,pemilu
21BeritaTerkini,jokowi wanti-wanti kepala daerah soal politik identitas jelang milu 2024,2023-01-17 03:32:35+00:00,pemilu
AliyansyahRafli,partai raih banyak dua suara nasional milu 2019 instruksi kader sosialisasi mente,2023-01-17 03:32:27+00:00,pemilu
pramesty_nindy,partai raih banyak dua suara nasional milu 2019 instruksi kader sosialisasi mente,2023-01-17 03:32:06+00:00,pemilu
FreyaIswari,partai raih banyak dua suara nasional milu 2019 instruksi kader sosialisasi mente,2023-01-17 03:32:00+00:00,pemilu
FanyOktavia10,nama prabowo subianto selalu muncul kali milu hendak ada prabowo dekade08 mendingprabowo,2023-01-17 03:32:00+00:00,pemilu
AlwiBadral,nama prabowo subianto selalu muncul kali milu hendak ada prabowo dekade08 mendingprabowo,2023-01-17 03:31:57+00:00,pemilu
diyoex,rt diyoex mara bikin sya kakean cangkem kan milu jarak yg tidak sebentar yaitu 5 tahun gara2 lagi2 harus kait dgn orank,2023-01-17 03:31:55+00:00,pemilu
Herzaky__MP,rt panca66 kata cawapres serah anies tapi ahmad ali celometan mulu kayak orang baru panggung percuma kalau ala,2023-01-17 03:31:45+00:00,pemilu
CaturCesar,nama prabowo subianto selalu muncul kali milu hendak ada prabowo dekade08 mendingprabowo,2023-01-17 03:31:28+00:00,pemilu
ramelia_sndy,nama prabowo subianto selalu muncul kali milu hendak ada prabowo dekade08 mendingprabowo,2023-01-17 03:31:25+00:00,pemilu
PolhukamRI,menko polhukam perintah pasti sinergitas kesiap milu 2024 tepat waktu tuju,2023-01-17 03:31:25+00:00,pemilu
MudaPejoeang,rt teguhtimurcom hariman siregar kalau milu tunda karena alas tidak ada duit ngapain bikin ikn,2023-01-17 03:31:20+00:00,pemilu
iqbalink13,rt catatankaqihati dalam kunjung komisi pilih umum ri minta bantu satu gereja indonesia pgi mewujudk,2023-01-17 03:31:16+00:00,pemilu
Prenadamedia2,sangat relevan jadi bahan baca para civitas academica kampus 7 harga rp,2023-01-17 03:31:14+00:00,pemilu
Adityawarman_,rt thephraseid pks kabar maju kader ahmad heryawan kang aher cawapres damping anies baswedan thephraseid pk,2023-01-17 03:31:10+00:00,pemilu
Prenadamedia2,ingat dimensi bahas buku cakup baik aspek normatif maupun empiris selenggara milu p,2023-01-17 03:31:03+00:00,pemilu
Prenadamedia2,buku hadir saat tepat jaga lanjut evaluasi desain selenggara milu gun,2023-01-17 03:30:49+00:00,pemilu
EMokoginto,nama prabowo subianto selalu muncul kali milu hendak ada prabowo dekade08 mendingprabowo,2023-01-17 03:30:40+00:00,pemilu
Prenadamedia2,namun bagai eksperimentasi desain milu telah praktik pasca-reformasi tampak mampu menja,2023-01-17 03:30:38+00:00,pemilu
putra_jembes,rt sartonohutomo ahy jenguk andi arief rs moga lekas sembuh bang aa,2023-01-17 03:30:30+00:00,pemilu
ZuhdyRauf,rt narasinewsroom duga manipulasi data ubah berita acara perintah langsung kpu ri kpud buat lolos partai y,2023-01-17 03:30:29+00:00,pemilu
