Username,Preprocessed_Tweet_Text,Timestamp,classification
HimawanHibar,geloraco apa2 tutup tutup mo milu minta2 pilih lbh miskin dr pngmis gilir pilih boro2 inget r,2023-01-12 07:30:04+00:00,"['pemilu', 'banjir']"
IWMawardi,bewoxajenanang alextham878 di jateng banjir kaya apa gubernur tetap datang beri bantu b,2023-01-11 06:43:20+00:00,"['pemilu', 'banjir']"
anni_noni,rt habiburokhman arah prabowo gerindra bantu korban banjir jawa tengah,2023-01-10 16:09:35+00:00,"['pemilu', 'banjir']"
RickyTamba_,rt habiburokhman arah prabowo gerindra bantu korban banjir jawa tengah,2023-01-10 12:38:50+00:00,"['pemilu', 'banjir']"
haris_k_abbas,rt bocahudik4 qianzyz brimot brigadir kolot pdip sengaja buat brimot batas usia mereka sedang usaha bentuk klon untuk,2023-01-10 03:44:02+00:00,"['pemilu', 'banjir']"
BocahUdik4,qianzyz brimot brigadir kolot pdip sengaja buat brimot batas usia mereka sedang usaha bentuk klon,2023-01-10 03:33:11+00:00,"['pemilu', 'banjir']"
susujahemerah01,giginpraginanto wey bosss opini mu sad tiap warga negara hak jadi pimpin terus hak jadi pe,2023-01-09 23:43:29+00:00,"['pemilu', 'banjir']"
SupraptoWiryo,,2023-01-09 13:19:57+00:00,"['pemilu', 'banjir']"
Gerindra,rt habiburokhman arah prabowo gerindra bantu korban banjir jawa tengah,2023-01-09 09:56:03+00:00,"['pemilu', 'banjir']"
mamang_opik,presidenkopi aniesbaswedan gubernur kader pdip tp tetep aja wjt milu orang2 jateng milih pdip neng miskin sama banjir,2023-01-09 06:31:29+00:00,"['pemilu', 'banjir']"
razakthaib64,maspiyu aja mohmahfudmd ramlirizal wou rugi 1000 indonesia ngak jadi presiden ri milu 2024 nanti kenap,2023-01-09 05:22:03+00:00,"['pemilu', 'banjir']"
prabuirwn,rt jungyyu088 prabowopresiden gerindramenang,2023-01-09 03:16:39+00:00,"['pemilu', 'banjir']"
radiopatria,3 antara wilayah sutojayan gondanglegi beberapa titik lain masuk daerah rawan banjir sementara,2023-01-09 01:23:48+00:00,"['pemilu', 'banjir']"
Kenikir27,rt habiburokhman arah prabowo gerindra bantu korban banjir jawa tengah,2023-01-08 19:03:45+00:00,"['pemilu', 'banjir']"
dpdgerindralpg,arah prabowo gerindra bantu korban banjir jawa tengah gerindra gerindralampung,2023-01-08 17:56:15+00:00,"['pemilu', 'banjir']"
RachmaMaulidia2,prabowo,2023-01-08 17:48:47+00:00,"['pemilu', 'banjir']"
ayahFatih15,,2023-01-08 17:26:01+00:00,"['pemilu', 'banjir']"
jungyyu088,prabowopresiden gerindramenang,2023-01-08 16:31:16+00:00,"['pemilu', 'banjir']"
Indriyaniwafa,,2023-01-08 15:44:28+00:00,"['pemilu', 'banjir']"
kinghendroarif3,,2023-01-08 15:25:54+00:00,"['pemilu', 'banjir']"
agusprehadi,rt habiburokhman arah prabowo gerindra bantu korban banjir jawa tengah,2023-01-08 14:40:36+00:00,"['pemilu', 'banjir']"
NirwanaYaya,rt habiburokhman arah prabowo gerindra bantu korban banjir jawa tengah,2023-01-08 12:06:34+00:00,"['pemilu', 'banjir']"
akunsudi,rt habiburokhman arah prabowo gerindra bantu korban banjir jawa tengah,2023-01-08 11:13:42+00:00,"['pemilu', 'banjir']"
habiburokhman,arah prabowo gerindra bantu korban banjir jawa tengah,2023-01-08 10:55:41+00:00,"['pemilu', 'banjir']"
AnnisaKhaerunn8,rt awanfajar1973 bospurwa saat milu 100 pilih bu mega bantu korban bencana banjir ini innalillahi,2023-01-08 06:30:34+00:00,"['pemilu', 'banjir']"
awanfajar1973,bospurwa saat milu 100 pilih bu mega bantu korban bencana banjir ini innalillahi,2023-01-08 01:43:59+00:00,"['pemilu', 'banjir']"
PanwasBatangan,giat bakti sosial bawaslu pati peduli musibah banjir pati sama rakyat awas milu sama bawaslu,2023-01-07 08:52:22+00:00,"['pemilu', 'banjir']"
Achmad_Misrin80,cornelgea alih anggar milu ut tangan warga korban banjir,2023-01-07 02:03:50+00:00,"['pemilu', 'banjir']"
Musafir69788203,rahmaniarbaftim msaid didu jelang milu banjir banjir tambah suara,2023-01-07 01:42:48+00:00,"['pemilu', 'banjir']"
ranacuy,mokeluar cheroinz temperedglass18 mouldie sep radodyadiko ridwankamil bekas mah dianggep jabar pas milu sa,2023-01-06 10:11:44+00:00,"['pemilu', 'banjir']"
hv2henry,ridwankamil ieu infrastruktur penunjangna ge euweuh jang maha rek ka tuna numpak awan kinton indit bada dz,2023-01-06 06:19:57+00:00,"['pemilu', 'banjir']"
NCTBESTTTT,rt azzahraniyessi banjir jakarta makin jadi semenjak anies jabat abai program normalisasi ciliwung sodet,2023-01-05 17:19:07+00:00,"['pemilu', 'banjir']"
AzzahraniYessi,rt azzahraniyessi banjir jakarta makin jadi semenjak anies jabat abai program normalisasi ciliwung sodet,2023-01-05 17:12:45+00:00,"['pemilu', 'banjir']"
AzzahraniYessi,banjir jakarta makin jadi semenjak anies jabat abai program normalisasi ciliwung sod,2023-01-05 17:12:39+00:00,"['pemilu', 'banjir']"
KingNCTyaya,rt tugiman pride sejak tahun 1922 banjir semarang tak pisah semarang yg identik dgn banjir yang dalam lirik la,2023-01-05 17:08:17+00:00,"['pemilu', 'banjir']"
TUGIMAN_PRIDE,rt tugiman pride sejak tahun 1922 banjir semarang tak pisah semarang yg identik dgn banjir yang dalam lirik la,2023-01-05 16:25:58+00:00,"['pemilu', 'banjir']"
TUGIMAN_PRIDE,sejak tahun 1922 banjir semarang tak pisah semarang yg identik dgn banjir yang dalam lir,2023-01-05 16:25:49+00:00,"['pemilu', 'banjir']"
mmxbhvhisgw0u,rt mmxbhvhisgw0u ganjar selesai banjir emma min yoongi daddy 10 years challenge thailand to you mulan le sserafim exo comeback wiji t,2023-01-05 14:38:02+00:00,"['pemilu', 'banjir']"
mmxbhvhisgw0u,ganjar selesai banjir emma min yoongi daddy 10 years challenge thailand to you mulan le sserafim exo comeback w,2023-01-05 14:24:39+00:00,"['pemilu', 'banjir']"
dndtirani,anak buah heru budi sebut sumur resap anies efektif dulu banjir 1 meter sekarang nggak kan wiji thukul emma,2023-01-05 14:11:39+00:00,"['pemilu', 'banjir']"
fadhly_apex,gibran tweet udah lah budaya pecah belah bangsa dhentikan masa stiap mndekati milu yg dbahas banjir k,2023-01-05 12:41:14+00:00,"['pemilu', 'banjir']"
azhar_can,survei capres indikator politik tren ganjar prabowo naik anies stagnan wajarlaah,2023-01-05 06:12:17+00:00,"['pemilu', 'banjir']"
minsidisjamil01,rt 2dibukab chaul8 2013 2023 semarang banjir noh tagih yg udh janji udh banjir mkn parah warga jateng tambah bany,2023-01-03 09:51:06+00:00,"['pemilu', 'banjir']"
Jum_atkliwon,rt 2dibukab chaul8 2013 2023 semarang banjir noh tagih yg udh janji udh banjir mkn parah warga jateng tambah bany,2023-01-03 09:40:51+00:00,"['pemilu', 'banjir']"
2dibukaB,chaul8 2013 2023 semarang banjir noh tagih yg udh janji udh banjir mkn parah warga jateng t,2023-01-03 09:38:24+00:00,"['pemilu', 'banjir']"
